canonical_label,csv_label_name,data_classification,category_type,csv_note_aliases,positive_triggers,value_patterns,example_surface_forms,negative_triggers,rule_mode,rule_safe,needs_context,priority,auto_redact_default,implementation_phase,training_template_notes
USI,USI - unique student identifier,Highly Protected,Government,USI; student identifier; UniqueStudentIdentifier,usi; unique student identifier; student identifier,USI_10_ALNUM_NOT_ALL_NUMERIC,USI: L32K9P7H2Q; unique student identifier Q7XH22PL9A; usi A9Q2L8MN3R,reference; test; placeholder; ticket; invoice,context_required,yes,yes,94,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
VEHICLE_ID,Vehicle REGO,Protected,Government,Vehicle registration; car registration; vehicle license plate,rego; vehicle rego; vehicle registration; number plate; license plate; licence plate; registration plate; car registration,VEHICLE_PLATE_AU; VEHICLE_PLATE_STATE_HYPHEN; VEHICLE_PLATE_GENERIC,Vehicle REGO: CXT72Q; Number Plate: AGL70L; Vehicle Registration (License Plate): VIC-987-XYZ; NSW-123-ABC,ticket; invoice; receipt; reference code; permit ref; system-generated; claim ref; course code,context_required,yes,yes,83,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
VOICE_RECOGNITION,Voice Recognition,Highly Protected,Biometrics,Speech recognition; audiorecognition,voice; recognition,NON_TEXT_OR_BIOMETRIC_ARTIFACT,VOICE_RECOGNITION: attached file / biometric artifact reference; voice recognition noted in record,text-only mention in policy; generic documentation; public example,not_text_span_or_metadata_only,no,yes,20,review,out_of_scope_text_only,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
WEBSITE_HISTORY,Website History,Protected,Tracking/Monitoring,Browsing history,website history; browsing history; browser history; visited; website history flag; digital footprint,URL; DOMAIN,Website history flag: enrolment-payment.example.test/profile; visited portal.example.test/payment,company homepage; public link; documentation URL unless user-specific history,context_required,partial,yes,64,review_or_yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
WORK_EMAIL,Work email,Protected,Contact Information,Workemail,work email; staff email; uni email; business email; professional email,EMAIL,work email d.huang@uni.example.test; staff email aisha.kareem@staff.example.test,placeholder; sample email; user@example,context_required,yes,yes,78,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
WORKERS_COMPENSATION_CLAIM,Workers Compensation Claims,Protected,Income Related,Workers Compensation; Workers Comp; Employee Compensation,workers compensation; workers comp; employee compensation; comp claim; wc claim; claim number,WORKERS_COMP_REF; FREE_TEXT_CLAIM,Workers Compensation claim WC-2026-1882; workers comp claim number WCC-88219,insurance quote; generic claim; ticket; reference without workers comp,context_required,partial,yes,73,review_or_yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
WORK_PHONE,Work phone,Public,Contact Information,office phone; business phone; professional phone,work phone; office phone; business phone; direct; professional phone; ext; extension,AU_LANDLINE; EXTENSION,Work phone: (02) 8627 2391; office phone ext 62391; direct 02 8627 2391,ticket; invoice; reference,context_required,partial,yes,68,yes_or_public_policy,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
MEDICAL_INFORMATION,Medical Information,Highly Protected,Medical,diseases; syndromes; ailments,diagnosis; medical reason; illness; migraine; anxiety; depression; injury; condition; flare-up; symptoms; disease; syndrome; ailment,MEDICAL_FREE_TEXT,Reason: migraine + anxiety flare-up; reported back injury; medical reason: severe asthma symptoms,medical certificate only; no diagnosis; general sick leave without condition,semantic,partial,yes,50,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
COUNSELLING_RECORDS,Counselling Records,Highly Protected,Medical,counselling,counselling; counseling; counsellor; counselling record; therapy notes; mental health support record,COUNSELLING_TEXT,counselling record attached; counsellor note says; therapy support record,course counselling; public service listing,semantic,no_or_partial,yes,50,review,training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
MEDICAL_CERTIFICATE,Medical Certificate,Highly Protected,Medical,doctors certificate; med cert; medical certificate,medical certificate; med cert; doctor certificate; doctors certificate; certificate says unfit; unfit from; medical note,MED_CERT_DATE_RANGE; FREE_TEXT_MED_CERT,medical certificate says unfit from 12/05/2026 to 16/05/2026; uploaded med cert; doctors certificate attached,training certificate; academic certificate; certificate of enrolment,context_required_semantic,partial,yes,66,review_or_yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SPECIAL_CONSIDERATION,Special Consideration,Highly Protected,Medical,spec con; special consideration reason,special consideration; spec con; special consideration reason; extension request; special con,SPECIAL_CONSIDERATION_TEXT,special consideration request; spec con reason: illness; extension request due to health issue,general consideration; policy title only,semantic,partial,yes,53,review,training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SCHOLARSHIP,Scholarship,Highly Protected,Academic,scholarship name; scholarship ID,scholarship; scholarship id; scholarship ref; scholarship name; award; bursary,SCHOLARSHIP_REF; FREE_TEXT_SCHOLARSHIP,Scholarship ref: SCH-2026-77A9; scholarship name Equity Access Grant,course code; invoice; ticket; general public scholarship listing,context_required,partial,yes,64,review_or_yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
WAM_SCORE,WAM score,Highly Protected,Academic,WAM,wam; wam score; weighted average mark,DECIMAL_SCORE; INTEGER_SCORE,WAM = 76.4; WAM score: 81; weighted average mark 68.5,temperature; percentage unrelated; score in game,context_required,partial,yes,60,review_or_yes,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SUBJECT_RESULTS,Subject Results,Highly Protected,Academic,subject results,subject result; result; grade; mark; comp; info; unit result; transcript,SUBJECT_RESULT_TEXT,COMP5318 result: D 78; INFO5990 result: HD 85; Subject Results: HD,test result generic non-academic; system result; code output,context_required_semantic,partial,yes,53,review,training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
SANCTIONS,Sanctions,Highly Protected,Academic,Academic sanction; Financial Sanction,sanction; academic sanction; financial sanction; misconduct; penalty; disciplinary action,SANCTION_REF; SANCTION_TEXT,Academic sanction: SAN-2025-448; financial sanction recorded; exam misconduct review,international sanctions news; policy document; sanction as verb unrelated to student,context_required_semantic,partial,yes,62,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
PERSONAL_DEBT,Personal Debt,Highly Protected,Income Related,Student Debt; Debt,personal debt; student debt; debt; outstanding debt; owing; unpaid balance; arrears,MONEY_AMOUNT; DEBT_TEXT,"Personal debt: $1,280.50; outstanding debt $980; student debt recorded",invoice total; project budget; public debt; finance lecture,context_required,partial,yes,61,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
